State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Liberia;LBR;Africa;Developing;4614;13,4;3,4;0,9;3,3;0,5;1,9;0,1;0,6;0,3;0,1;0,4;0;4,7;0,5;1,4;0,6;0,1;0;0,8;0;0,1;1,7;0,1;0,2;0,1;0,2;0,1;0;0,4;0,3;0,5;0
Libya;LBY;Africa;Developing;6293;0,9;1;0;0,7;0;4;0,2;1,3;0,2;0,1;1,9;0;11,6;1,1;1,1;1,8;0,1;0;0,6;0;0;1,6;0;0,3;0,1;0,1;0,1;0;0,3;0,3;0,2;3,7
Lithuania;LTU;Europe;Developed;2908;0,8;0,7;0;0;0;8,2;0,1;0,3;0;0,5;0,7;0;23,2;0,7;2,2;0,5;0;0,1;0,1;0;0;0,2;0;0,4;0;0,2;0;0;0,6;0,9;0,2;0
Luxembourg;LUX;Europe;Developed;576;0,1;0,1;0;0;0;1,1;0;0,1;0;0;0,4;0;1,2;0,3;0,2;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0;0,1;0,1;0;0
Madagascar;MDG;Africa;Developing;24895;35,9;14;3;13,1;6,3;15;0,4;2,2;0,7;0,2;1,8;0;31,1;6;5,2;1,1;0,4;0,1;3,1;0;0,2;7,7;0,8;1,2;0,8;1;0,5;0;1,8;1;1,7;0
Malawi;MWI;Africa;Developing;18092;45,3;9;2,2;13,4;3,5;12,3;0,4;1,4;0,6;0,2;1,7;0;12,4;1,9;3,6;1;0,3;0,1;2,9;0;0,1;5,6;0,4;1;0,6;0,6;0,3;0;1,1;0,7;0,3;0
Malaysia;MYS;Asia;Developing;31187;10,9;13,9;0,2;1,8;0,1;24,5;0,9;4,6;0,6;0,7;7,7;0;54;6,3;6,5;4,9;1;0,3;1,4;0;0;6,9;0,2;0,7;0,3;0,6;0,2;0;1,9;1,7;1,3;0
Maldives;MDV;Asia;Developing;428;0;0;0;0;0;0,2;0;0;0;0;0,1;0;0,5;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mali;MLI;Africa;Developing;17995;60,7;14,9;4,4;24,9;6,7;7,8;0,2;2,4;2,2;0,4;2,2;0;22;5,4;6;2,8;0,3;0,1;4;0;0,2;4,9;0,6;1,3;0,9;1,6;1,2;0;2,8;0,9;2;0,3
Malta;MLT;Europe;Developed;429;0;0,2;0;0;0;0,9;0;0,1;0;0;0,2;0;1,3;0,2;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
