id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9902104,nice suuny studio near downtown,50922149,Maria Fernanda,,Watersportbaan - Ekkergem,51.05444,3.70438,Entire home/apt,55,2,1,2016-04-05,0.03,1,0
9982414,Leuk appartement in het Prinsenhof,44823655,Francis,,Elisabethbegijnhof - Papegaai,51.05882,3.71398,Private room,78,2,0,,,2,105
9989320,ruime kamer met private badkamer,50344560,Veerle,,Zwijnaarde,51.01903,3.67748,Private room,38,2,37,2019-04-07,0.93,1,64
10015215,Ruim appartement hartje Gent.,51433840,Collin,,Binnenstad,51.05534,3.72275,Entire home/apt,250,3,78,2019-03-29,2.08,1,206
10024136,Rooftop room in city centre with private bathroom,3325048,Karen & Tom,,Binnenstad,51.05659,3.72719,Private room,55,2,94,2019-04-07,2.79,1,0
10027138,Cosy house near Ghent centre,9483157,Bart,,Brugse Poort - Rooigem,51.06344,3.70031,Entire home/apt,85,1,3,2016-01-02,0.07,1,0
10027947,Maaltebrugge,7830323,Benedicte,,Stationsbuurt Zuid,51.02994,3.71027,Private room,50,1,0,,,1,0
10083084,Curiosity room in a Belle-Epoque house,47388258,F,,Dampoort,51.0503,3.747,Private room,35,1,376,2019-04-14,9.31,3,319
10093174,"peaceful rest, easy acces & comfortable",51792074,Joris,,Stationsbuurt Noord,51.03977,3.70933,Entire home/apt,45,2,16,2019-04-06,0.42,1,358
10135475,Boho at the Port (+ opt. parking space),2314221,Danielle,,Elisabethbegijnhof - Papegaai,51.05403,3.71691,Entire home/apt,41,3,106,2019-04-07,3.71,1,308
10155409,Downtown Ghent centre,33050887,Damien,,Binnenstad,51.05116,3.72057,Entire home/apt,82,1,131,2019-03-24,3.28,5,318
10182096,Historic Center Modern Apartment.,52288798,Sarah,,Elisabethbegijnhof - Papegaai,51.05331,3.71879,Entire home/apt,76,2,175,2019-04-08,4.85,1,100
10201604,Well-situated and Comfortable Home.,1792071,Sabine,,Stationsbuurt Zuid,51.03176,3.72289,Entire home/apt,99,1,288,2019-04-13,7.28,1,267
10241943,16th Century House in City Center,33030511,Myriame,,Elisabethbegijnhof - Papegaai,51.05673,3.71718,Entire home/apt,100,2,28,2018-05-06,0.72,2,105
10275284,Luxe Loft in hart van Gent! Toplocatie met Spa!,24229919,Hanane,,Binnenstad,51.05813,3.72813,Entire home/apt,250,1,171,2019-03-31,4.33,1,316
10293775,apartment with view on the river,52955345,Rebecca,,Macharius - Heirnis,51.04627,3.73947,Entire home/apt,30,7,0,,,1,0
10304994,Apartment at the waterside,3508518,Jessica,,Rabot  - Blaisantvest,51.05735,3.7089,Entire home/apt,60,2,8,2017-09-21,0.21,1,0
10308285,LOFT- Duplex-in canopy of trees center Ghent,53039258,Veerle,,Binnenstad,51.04152,3.72741,Entire home/apt,59,4,15,2019-04-01,0.76,2,79
10312116,Something Els. Appartment in the heart of the city,53059501,Els,,Elisabethbegijnhof - Papegaai,51.05207,3.71909,Entire home/apt,80,2,133,2019-04-14,3.36,1,46
10325779,New! Charming old center apartment,53135103,Akira & Aris,,Binnenstad,51.0579,3.72054,Entire home/apt,75,2,222,2019-03-31,5.62,2,40
10333830,Gorgeous big modern apartment,18273119,Cesar,,Binnenstad,51.04058,3.73584,Entire home/apt,120,2,40,2019-04-09,1.01,1,128
10350818,Center Gent bright charming apartm.,23333629,Leo,,Binnenstad,51.0449,3.72118,Entire home/apt,54,3,64,2019-04-12,1.63,2,214
10385158,Cozy room with double bed and breakfast option!!,53459941,Iman,,Stationsbuurt Noord,51.03382,3.72376,Private room,30,1,50,2019-03-16,1.42,3,322
10405555,Quiet room in cosy street.,12898908,Jorid,,Dampoort,51.04704,3.75173,Private room,30,1,27,2019-04-10,0.73,2,139
10693522,Cute newly renovated house,3388709,Heidi,,Watersportbaan - Ekkergem,51.05016,3.70489,Entire home/apt,50,2,31,2016-10-16,0.85,1,0
10748363,Central duplex/ great view/,55569184,Mathilde,,Binnenstad,51.05504,3.7217,Entire home/apt,155,2,132,2019-04-07,3.58,1,263
10842431,Bright & Luxury City Centre apartment Ghent,15300260,"Aron, Dave & Myriam",,Rabot  - Blaisantvest,51.06175,3.71607,Entire home/apt,85,2,46,2018-12-20,1.24,3,136
10882288,Central penthouse with terraces,53440741,Isabelle,,Binnenstad,51.05235,3.72545,Private room,68,1,3,2016-05-16,0.08,1,0
10915447,Jack's House,53749738,Barbara,,Binnenstad,51.05495,3.7219,Entire home/apt,105,1,251,2019-04-15,6.64,1,279
11151170,Logeren in een karmelietenklooster.,26338675,Bea En Kristien,,Elisabethbegijnhof - Papegaai,51.05757,3.71697,Private room,105,1,42,2019-03-24,1.26,13,316
11151540,Staying in a carmelite convent.,26338675,Bea En Kristien,,Elisabethbegijnhof - Papegaai,51.05678,3.71548,Private room,105,1,32,2018-12-09,0.86,13,331
11153623,Cosy Studio next to the water,1209385,Kristof,,Sluizeken - Tolhuis - Ham,51.06084,3.72526,Entire home/apt,46,2,286,2019-04-14,8.50,1,202
11198991,Appartement Gent,58311247,An,,Stationsbuurt Noord,51.03556,3.71695,Entire home/apt,74,10,22,2017-10-08,0.58,1,78
11278197,Charming house near Ghent,13686339,Isaac,,Drongen,51.0474,3.63021,Entire home/apt,50,2,9,2017-07-10,0.24,1,0
11371968,Authentic loft Oudburg/Patershol,14192228,John,,Binnenstad,51.05924,3.72539,Entire home/apt,120,1,128,2019-04-08,3.49,2,54
11373016,Authentic loft Oudburg/Patershol,14192228,John,,Binnenstad,51.05949,3.72474,Private room,70,1,17,2017-09-18,0.45,2,52
11389551,Cosy modern studio near the center,49333169,Sabine,,Binnenstad,51.04847,3.73167,Entire home/apt,50,3,43,2019-01-01,1.13,3,14
11393677,Parkview Studio in city centre,890429,Dries,,Macharius - Heirnis,51.05237,3.74079,Entire home/apt,42,6,31,2019-04-06,0.83,6,320
11407725,Cosy&modern studio near the center,49333169,Sabine,,Binnenstad,51.04871,3.73192,Entire home/apt,45,3,65,2018-11-11,1.75,3,24
11408443,Bright & modern studio near center,49333169,Sabine,,Binnenstad,51.05073,3.73247,Entire home/apt,55,3,68,2019-02-02,1.83,3,32
11504603,Zonnige bungalow,47121690,Liesbet,,Mariakerke,51.07194,3.66859,Entire home/apt,95,2,22,2019-04-14,0.66,1,160
11520446,Gezellige kamer,16056459,Line,,Oostakker,51.10539,3.76835,Private room,35,2,22,2018-10-26,0.59,1,323
11538310,Bright spacious room for 2 to 4 persons @Ghent,39312954,Tamara,,Drongen,51.03929,3.66652,Private room,49,2,29,2018-12-15,0.86,2,81
11543219,Cosy room in luxury appartment,15728434,Laurent,,Stationsbuurt Noord,51.03881,3.71767,Private room,50,2,29,2019-04-07,0.78,1,70
